Month,Airline ID,Port_Country,Passengers_In,Passengers_Out,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes)
Jul-85,596,Thailand,139.0,163.0,12.577,5.559,0.0,0.0
Jul-85,1355,India,98.0,108.0,5.0,4.9,0.0,0.0
Jul-85,1572,India,98.0,108.0,5.0,4.9,0.0,0.0
Jul-85,1355,New Zealand,2400.0,1935.0,62.0,46.4,0.0,0.0
Jul-85,1572,New Zealand,2400.0,1935.0,62.0,46.4,0.0,0.0
Jul-85,1355,Oman,122.0,552.0,7.4,57.4,0.0,0.0
Jul-85,1572,Oman,122.0,552.0,7.4,57.4,0.0,0.0
Jul-85,1355,Singapore,3151.0,2842.0,84.9,292.3,0.0,0.0
Jul-85,1572,Singapore,3151.0,2842.0,84.9,292.3,0.0,0.0
Jul-85,1355,UK,6630.0,8048.0,379.4,97.7,0.0,0.0
Jul-85,1572,UK,6630.0,8048.0,379.4,97.7,0.0,0.0
Jul-85,1355,United Arab Emirates,284.0,298.0,0.0,102.1,0.0,0.0
Jul-85,1572,United Arab Emirates,284.0,298.0,0.0,102.1,0.0,0.0
Jul-85,1881,Fiji,216.0,454.0,9.302,32.185,0.0,0.0
Jul-85,1881,New Zealand,2738.0,2520.0,135.488,173.732,0.0,0.0
Jul-85,1881,USA,3104.0,2868.0,165.415,169.909,0.0,0.0
Jul-85,2520,Indonesia,7329.0,7824.0,287.403,238.439,0.0,0.0
Jul-85,2987,Japan,3226.0,2622.0,136.019,215.433,0.0,0.0
Jul-85,3090,Netherlands,792.0,835.0,31.303,7.52,0.0,0.0
Jul-85,3090,Sri Lanka,270.0,233.0,1.382,5.017,0.0,0.0
Jul-85,3090,United Arab Emirates,27.0,43.0,0.163,31.293,0.0,0.0
Jul-85,3378,Malaysia,5648.0,5933.0,445.171,335.179,2.221,0.461
Jul-85,3952,Philippines,4042.0,3753.0,245.108,80.579,0.0,0.0
Jul-85,4013,Vanuatu,0.0,0.0,0.0,1.505,0.0,0.0
Jul-85,4013,Western Samoa,87.0,218.0,0.002,1.322,0.0,0.0
Jul-85,4255,Brunei,327.0,198.0,0.26,21.388,0.0,0.0
Jul-85,4435,Singapore,12955.0,12602.0,693.213,834.305,0.0,0.0
Jul-85,4305,Mauritius,226.0,185.0,14.178,1.057,0.0,0.0
Jul-85,4305,South Africa,937.0,1019.0,27.557,29.463,0.0,0.0
Jul-85,4940,Singapore,0.0,517.0,0.0,7.859,0.0,0.0
Jul-85,4940,Thailand,5525.0,5719.0,223.823,144.874,0.0,0.0
Aug-85,751,China,225.0,202.0,3.306,2.195,0.0,0.0
Aug-85,345,New Zealand,18676.0,19383.0,1076.321,854.544,0.99,0.254
Aug-85,328,Papua New Guinea,2042.0,2220.0,23.69,99.347,0.0,0.0
Aug-85,879,Fiji,7495.0,7650.0,8.715,83.824,0.0,0.0
Aug-85,879,Solomon Islands,558.0,596.0,2.572,14.432,0.0,0.0
Aug-85,879,Vanuatu,111.0,143.0,0.058,2.968,0.0,0.0
Aug-85,524,Vanuatu,489.0,262.0,0.303,2.082,0.0,0.0
Aug-85,596,Italy,2310.0,2462.0,66.75,45.333,0.0,0.0
Aug-85,596,Singapore,529.0,440.0,27.308,48.898,0.0,0.0
Aug-85,596,Thailand,131.0,233.0,13.951,3.292,0.0,0.0
Aug-85,1355,India,124.0,99.0,5.0,0.9,0.0,0.0
Aug-85,1572,India,124.0,99.0,5.0,0.9,0.0,0.0
Aug-85,1355,New Zealand,1952.0,2412.0,65.3,69.6,0.0,0.0
Aug-85,1572,New Zealand,1952.0,2412.0,65.3,69.6,0.0,0.0
Aug-85,1355,Oman,99.0,615.0,1.2,73.1,0.0,0.0
Aug-85,1572,Oman,99.0,615.0,1.2,73.1,0.0,0.0
Aug-85,1355,Singapore,3690.0,3156.0,103.8,150.7,0.0,0.0
Aug-85,1572,Singapore,3690.0,3156.0,103.8,150.7,0.0,0.0
Aug-85,1355,UK,6726.0,7988.0,331.5,94.6,0.0,0.0
Aug-85,1572,UK,6726.0,7988.0,331.5,94.6,0.0,0.0
Aug-85,1355,United Arab Emirates,343.0,256.0,0.2,119.8,0.0,0.0
Aug-85,1572,United Arab Emirates,343.0,256.0,0.2,119.8,0.0,0.0
Aug-85,1881,Fiji,772.0,794.0,23.777,63.957,0.0,0.0
Aug-85,1881,New Zealand,2705.0,2794.0,142.705,219.649,0.0,0.0
Aug-85,1881,USA,3597.0,4120.0,203.82,196.209,0.0,0.0
Aug-85,2520,Indonesia,7715.0,8326.0,257.753,172.296,0.0,0.0
Aug-85,2987,Japan,4417.0,4862.0,181.902,188.138,0.0,0.0
Aug-85,3090,Netherlands,1229.0,1157.0,38.095,5.89,0.0,0.0
Aug-85,3090,Sri Lanka,351.0,352.0,2.862,7.361,0.0,0.0
Aug-85,3090,United Arab Emirates,22.0,86.0,0.18,48.737,0.0,0.0
Aug-85,3378,Malaysia,6167.0,6282.0,326.876,314.657,2.101,0.358
Aug-85,3952,Philippines,4483.0,3938.0,245.991,77.017,0.0,0.0
Aug-85,4013,Vanuatu,0.0,0.0,0.0,2.317,0.0,0.0
Aug-85,4013,Western Samoa,62.0,367.0,0.09,3.562,0.0,0.0
Aug-85,4255,Brunei,255.0,248.0,0.638,26.316,0.0,0.0
Aug-85,4435,Singapore,13712.0,14431.0,755.495,854.866,0.0,0.0
Aug-85,4305,Mauritius,321.0,257.0,13.75,1.604,0.0,0.0
Aug-85,4305,South Africa,1323.0,1204.0,32.458,32.504,0.0,0.0
Aug-85,4940,Singapore,0.0,604.0,0.0,14.555,0.0,0.0
Aug-85,4940,Thailand,4887.0,5517.0,218.2,158.077,0.0,0.0
Sep-85,751,China,243.0,285.0,12.534,4.584,0.0,0.0
Sep-85,345,New Zealand,25877.0,23245.0,1350.148,921.49,1.8,0.906
Sep-85,328,Papua New Guinea,2059.0,1864.0,11.319,51.481,0.0,0.0
Sep-85,879,Fiji,6815.0,5863.0,20.411,76.54,0.0,0.0
Sep-85,879,Solomon Islands,671.0,530.0,2.655,10.774,0.0,0.0
Sep-85,879,Vanuatu,191.0,188.0,0.226,0.0,0.0,0.0
Sep-85,524,Vanuatu,503.0,411.0,3.157,6.313,0.0,0.0
Sep-85,596,Italy,2710.0,1751.0,66.574,42.605,0.0,0.0
Sep-85,596,Singapore,453.0,208.0,19.904,71.812,0.0,0.0
Sep-85,596,Thailand,102.0,130.0,12.952,6.506,0.0,0.0
Sep-85,1355,India,77.0,84.0,2.5,0.2,0.0,0.0
Sep-85,1572,India,77.0,84.0,2.5,0.2,0.0,0.0
Sep-85,1355,New Zealand,2075.0,2674.0,58.2,40.8,0.0,0.0
Sep-85,1572,New Zealand,2075.0,2674.0,58.2,40.8,0.0,0.0
Sep-85,1355,Oman,136.0,667.0,0.4,55.2,0.0,0.0
Sep-85,1572,Oman,136.0,667.0,0.4,55.2,0.0,0.0
