Month,Airline,Port_Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Year,Month_num
Apr-85,Qantas Airways,Denmark,0,0,0,632,0,0,1985,4
Apr-85,Qantas Airways,Fiji,2163,7.918,0.096,2216,107.441,0.745,1985,4
Apr-85,Qantas Airways,Germany,780,366.428,6.394,1388,16.021,12.757,1985,4
Apr-85,Qantas Airways,Greece,409,16.851,3.105,1763,2.691,4.226,1985,4
Apr-85,Qantas Airways,Hong Kong,6687,233.338,3.826,6261,469.933,9.124,1985,4
Apr-85,Qantas Airways,India,267,15.963,0.146,206,2.295,1.595,1985,4
Apr-85,Qantas Airways,Indonesia,3638,61.852,0.518,4065,22.835,0.871,1985,4
Apr-85,Qantas Airways,Italy,739,36.526,5.175,1532,7.899,2.461,1985,4
Apr-85,Qantas Airways,Japan,3506,317.956,23.966,4231,210.11,9.017,1985,4
Apr-85,Qantas Airways,Netherlands,170,30.109,0.019,500,7.341,4.817,1985,4
Apr-85,Qantas Airways,New Caledonia,329,1.369,0.213,405,50.52,0.279,1985,4
Apr-85,Qantas Airways,New Zealand,27422,1107.327,21.527,25127,543.757,62.089,1985,4
Apr-85,Qantas Airways,Papua New Guinea,1809,9.303,2.132,1681,74.749,14.06,1985,4
Apr-85,Qantas Airways,Philippines,1095,98.507,0.149,970,45.707,1.341,1985,4
Apr-85,Qantas Airways,Singapore,8937,162.595,10.463,10343,864.569,9.188,1985,4
Apr-85,Qantas Airways,Tahiti,1106,0.052,0.163,1348,61.072,1.18,1985,4
Apr-85,Qantas Airways,Thailand,993,14.249,0.614,949,16.625,1.566,1985,4
Apr-85,Qantas Airways,UK,4518,356.348,7.46,9442,56.663,42.906,1985,4
Apr-85,Qantas Airways,USA,11833,642.77,0.322,10950,458.073,43.796,1985,4
Apr-85,Qantas Airways,Vanuatu,481,0.527,0,467,0.401,0,1985,4
Apr-85,Qantas Airways,Yugoslavia,248,0.365,0.783,582,1.215,0.445,1985,4
